Product URL,Product Name,Description,Product Price,ASIN,Rating,Manufacturer
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-1,Skybags Brat Black 46 Cms Casual Backpack,"Bags, Wallets and Luggage › Bags & Backpacks › Backpacks › Casual Backpacks",₹649,‎B08Z1HHHTD,4.1,‎VIP Industries Ltd
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-5,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹849,‎B09VCLZ3K4,3.9,‎Amazing Bags
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-6,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹679,‎B09VTDMRY7,4,"‎FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-8,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,"Fashion › Deals on shoes, watches, luggage & jewellery › Deals on watches, jewellery & luggage › Luggage",₹899,‎B07M9BRCQ5,4.3,"‎Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK/ref=sxin_25_trfobq2av2_1_B0821PYKVK?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PYKVK&pd_rd_r=5352de48-d97d-4d1a-af3e-b6468c7ec1fe&pd_rd_w=m3oGt&pd_rd_wg=NuJ90&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=ZMR4TKDCNWNNRYXZ1FS8&qid=1692638493&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",Home & Kitchen › Home Storage & Organisation › Waste & Recycling › Dustbin Bags,₹329,‎B0821PYKVK,4.3,‎SINAR INDAH PULP & PAPER PVT LTD Plot No
https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-11,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹849,‎B0BJ32LQ6X,3.9,‎Amazing Bags
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-13,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹599,‎B09QL66G55,4,"‎WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact"
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-14,Gear Classic 20L Small Size Faux Leather Water Resistant Anti Theft Unisex Laptop Backpack- Brown,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹979,‎B07G4F6XFH,4.4,"‎Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1692638493&sprefix=ba%2Caps%2C283&sr=8-16,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,"Bags, Wallets and Luggage › Bags & Backpacks › Backpacks › Casual Backpacks","₹2,099",‎B07BZ5VC4H,4.5,"‎Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-18,ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹499,‎B09TPX22NF,3.9,"‎ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-19,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,"Bags, Wallets and Luggage › Bags & Backpacks › Backpacks › Casual Backpacks",₹209,‎B08L6Q9V1H,4.2,"‎Arctic Fox, Outshiny India Pvt. Ltd. No.17, Ganesh Nagar, 8th B Cross Narayanappa Layout, Kodigehalli Bengaluru - 560097.."
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-20,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,"₹1,115",‎B075MK4TXP,4.4,"‎Gear Merchandise PVT LTD, Gear Merchandise PVT LTD E/12 West Chowbaga Gulshan colony KoLkata-700100 Contact 9830403366"
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-21,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹679,‎B09VTCNN75,4,"‎FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-23,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER",Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,"₹1,399",‎B0BTD4FK9G,4.2,"‎EXPERTS, China"
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-25,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹439,‎B0BZW8KW18,3.8,"‎LOOKMUSTER, ABU GROUP OF INDUSTRIES B-3/406 AGAR NAGAR PREM NAGAR-RD KIRARI SULEMAN NAGAR DELHI-110086"
https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-26,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹839,‎B078GLXMDY,4,"‎Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_27?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-27,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹599,‎B0BYB631NR,3.7,‎Rama luxury store
https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-29,Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,"Bags, Wallets and Luggage › Bags & Backpacks › Backpacks › Casual Backpacks",₹843,‎B07XVMR33Q,4,"‎Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)"
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1692638497&sprefix=ba%2Caps%2C283&sr=8-30,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",Computers & Accessories › Accessories & Peripherals › Laptop Accessories › Bags & Sleeves › Laptop Backpacks,₹599,‎B09QL81ZHB,4,"‎WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact"
https://www.amazon.in/Gear-Training-Travel-Duffel-DUFCRSTNG4314/dp/B098FG3GVX/ref=sr_1_33?crid=2M096C61O4MLT&keywords=bags&qid=1692638501&sprefix=ba%2Caps%2C283&sr=8-33,Gear Polyester 23 Cms Travel Bag(DUFCRSTNG4314_Khaki),"Bags, Wallets and Luggage › Bags & Backpacks › Gym Bags › Sports Duffles",₹478,‎B098FG3GVX,4.1,"‎Gear Merchandise Pvt Ltd, Gear Merchandise Pvt Ltd, E/12 West Chowbaga Gulshan Colony, Kolkata-700100"
